Date:,28/9/2023,,,,,,,,,,,,,,,,,
Time,5:22 PM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Order ID,Order Date,Country,City,Branch,Lat,Lng,Customer First Name,Customer Last Name,Email,Phone Number,Category,Sub Category,Item,SalesPerson ID,Quantity,Unit Price,Discount,Status
1,1/1/2023,Syria,homs,hs01,34.7326,36.7136,lina,alrrashid,LINA.ALRRASHID@MAIL.COM,Tel: 5634962795,Tablet,Apple iPad,"  iPad   Pro   12.9"" ",N498,1,999,39.96,FALSE
2,1/1/2023,Saudi Arabia,riyadh,rd01,24.7136,46.6753,omar,eurul,OMAR.EURUL@MAIL.COM,Tel: 5311455624,Smartphone,Samsung Galaxy,Galaxy  S21  Ultra  ,X918,1,1199,119.9,TRUE
3,1/1/2023,Saudi Arabia,riyadh,rd03,24.7743,46.7386,iman,iismaeil,IMAN.IISMAEIL@MAIL.COM,Tel: 5272740777,Digital Camera,Panasonic Lumix,Panasonic Lumix GH5 ,I036,1,1299,,TRUE
,,,,,,,,,,,,,,,,,,
4,1/1/2023,United Arab Emirates,abu dhabi,ad01,24.4539,54.3773,ahmad,rihan,AHMAD.RIHAN@MAIL.COM,Tel: 5783343440,Tablet,Samsung Galaxy Tab, Galaxy Tab A8 ,E804,2,199,27.86,TRUE
5,1/1/2023,USA,washington,wh01,38.9072,-77.0369,sami,altawil,Sami.altawil@mail.com,Tel: 5352774687,Headphones,Sennheiser HD, Sennheiser   HD   450BT  ,Q149,1,129,3.87,TRUE
6,1/1/2023,Syria,aleppo,al01,36.2021,37.1343,ahed,salim,Ahed.salim@mail.com,Tel: 5277356213,Smartwatch,Garmin Fenix, Garmin   Fenix   6S   ,J431,1,499,4.99,TRUE
7,1/1/2023,Saudi Arabia,riyadh,rd01,24.7136,46.6753,amira,alrahil,AMIRA.ALRAHIL@MAIL.COM,Tel: 5653467109,Digital Camera,Panasonic Lumix,Panasonic Lumix S1H,S190,1,3499,209.94,TRUE
,,,,,,,,,,,,,,,,,,
8,1/1/2023,Egypt,cairo,cr02,30.0444,31.2357,muhamad,bitahish,MUHAMAD.BITAHISH@MAIL.COM,Tel: 5705221103,Headphones,Anker Soundcore,Anker   Soundcore   Liberty   Air   2   Pro   ,R389,1,99,0.99,FALSE
9,1/1/2023,Saudi Arabia,aseer,as01,18.2311,42.5004,fadi,aljabaan,Fadi.aljabaan@mail.com,Tel: 5271157029,Laptop,HP Envy,  Envy   x360  ,I974,1,899,,TRUE
10,1/1/2023,USA,washington,wh01,38.9072,-77.0369,zahir,almunajid,Zahir.almunajid@mail.com,Tel: 5151565826,Smart Speaker,Apple HomePod,Apple  HomePod  mini ,R236,9,99,71.28,TRUE
11,1/1/2023,Egypt,cairo,cr03,30.0444,31.2357,eala,aljabaan,Eala.aljabaan@mail.com,Tel: 5725081300,Laptop,Lenovo Legion, Lenovo   Legion   5  ,B541,3,1099,,TRUE
12,1/1/2023,Egypt,cairo,cr01,30.0444,31.2357,abd allatif,alghandur,ABD ALLATIF.ALGHANDUR@MAIL.COM,Tel: 5647534056,Tablet,Samsung Galaxy Tab,   Galaxy  Tab  S7,U983,1,649,64.9,TRUE
13,1/1/2023,USA,las vegas,lv01,36.1699,-115.1398,muhamad,eurman,MUHAMAD.EURMAN@MAIL.COM,Tel: 5011035056,Smartwatch,Fossil Gen,  Fossil Gen 5E  ,N710,1,199,19.9,TRUE
14,1/1/2023,Morocco,casablanca,cs01,33.5731,7.5898,shahad,eyd bndqjy,SHAHAD.EYD BNDQJY@MAIL.COM,Tel: 5066425618,Smartwatch,Garmin Fenix, Garmin   Fenix   7,G033,1,699,62.91,TRUE
15,1/1/2023,Egypt,asyut,at01,27.1809,31.1837,sahar,kharasah,Sahar.kharasah@mail.com,Tel: 5074545757,Tablet,Amazon Fire,   Amazon Fire 7 ,G449,1,49,3.43,TRUE
16,1/1/2023,United Arab Emirates,abu dhabi,ad01,24.4539,54.3773,muhamad,zawal,Muhamad.zawal@mail.com,Tel: 5080748666,Tablet,Samsung Galaxy Tab,  Galaxy  Tab  A7,T351,1,179,14.32,TRUE
17,1/1/2023,France,paris,ps01,48.8566,2.3522,muhamad,zaetar,MUHAMAD.ZAETAR@MAIL.COM,Tel: 5891898352,Headphones,Sennheiser HD, Sennheiser HD 660S ,S691,13,499,389.22,TRUE
18,1/1/2023,Saudi Arabia,jeddah,jd01,21.5433,39.1728,muhamad,byd,muhamad.byd@mail.com,Tel: 5326430239,Tablet,Lenovo Tab,Lenovo Tab M10 FHD Plus   ,D241,1,229,16.03,TRUE
19,1/1/2023,Saudi Arabia,riyadh,rd01,24.7136,46.6753,fadi,ahmad,FADI.AHMAD@MAIL.COM,Tel: 5923514383,VR Headset,Oculus Rift,Oculus  Rift  S   ,O247,1,399,7.98,FALSE
20,1/1/2023,Saudi Arabia,riyadh,rd02,24.7743,46.7386,khalid,dbs,Khalid.dbs@mail.com,Tel: 5649954933,Headphones,Anker Soundcore, Anker Soundcore Life Q35  ,R252,3,129,7.74,FALSE
21,1/1/2023,Saudi Arabia,aseer,as01,18.2311,42.5004,akthum,haydar,akthum.haydar@mail.com,Tel: 5649217895,Digital Camera,Sony Cyber-shot,Sony  Cyber-shot  RX100  VII   ,S783,1,1199,47.96,TRUE
22,1/1/2023,USA,new york,ny03,40.7498,-73.9814,muhamad,zaqzuq,MUHAMAD.ZAQZUQ@MAIL.COM,Tel: 5064468564,Headphones,JBL Live,   JBL Live 500BT ,J345,1,99,,FALSE
23,1/1/2023,United Arab Emirates,abu dhabi,ad02,24.4764,54.3705,rwbyna,salhany,Rwbyna.salhany@mail.com,Tel: 5037062257,Headphones,Sony WH, Sony   WH-CH710N   ,H632,1,129,,TRUE
24,1/1/2023,USA,new york,ny03,40.7498,-73.9814,muwmin,alsaman,Muwmin.alsaman@mail.com,Tel: 5114783631,Headphones,Anker Soundcore,Anker Soundcore Liberty Air Pro,Q832,1,99,5.94,TRUE
25,1/1/2023,United Arab Emirates,abu dhabi,ad01,24.4539,54.3773,jwny,alrifaei,jwny.alrifaei@mail.com,Tel: 5073584006,Laptop,Lenovo Legion,Lenovo   Legion   5 ,P653,3,1099,32.97,TRUE
26,1/1/2023,Syria,damascus,ds02,33.5146,36.3084,ali,iismaeil,ALI.IISMAEIL@MAIL.COM,Tel: 5835136476,Laptop,Apple MacBook,"   MacBook   Air   13""   ",U470,1,999,79.92,FALSE
27,1/1/2023,Egypt,cairo,cr02,30.0444,31.2357,husam aldiyn,allaham,Husam Aldiyn.allaham@mail.com,Tel: 5345184897,Tablet,Amazon Fire,  Amazon Fire HD 10   ,J431,1,149,10.43,TRUE
28,1/1/2023,France,paris,ps01,48.8566,2.3522,muhamad,muayid,Muhamad.muayid@mail.com,Tel: 5142624890,Smartphone,OnePlus, OnePlus  10  Pro  ,W336,1,999,79.92,FALSE
29,1/1/2023,France,paris,ps01,48.8566,2.3522,ali,kiwan,ALI.KIWAN@MAIL.COM,Tel: 5122817846,Fitness Tracker,Fitbit Versa,Fitbit Versa 2  ,V236,2,179,10.74,FALSE
30,1/1/2023,Saudi Arabia,aseer,as01,18.2311,42.5004,emara,shiah,Emara.shiah@mail.com,Tel: 5535880671,Fitness Tracker,Fitbit Versa,  Fitbit  Versa  3 ,X209,2,229,22.9,FALSE
,,,,,,,,,,,,,,,,,,
31,1/1/2023,USA,new york,ny01,40.7128,-74.006,muhamad,shbyb,muhamad.shbyb@mail.com,Tel: 5488892188,Smartphone,Samsung Galaxy,Galaxy S21 Ultra,F510,1,1199,47.96,FALSE
32,1/1/2023,United Arab Emirates,abu dhabi,ad02,24.4764,54.3705,majd,eilwan,majd.eilwan@mail.com,Tel: 5664246524,Headphones,Sennheiser HD,Sennheiser HD 599 SE,Z764,1,199,11.94,TRUE
33,1/1/2023,USA,new york,ny03,40.7498,-73.9814,rahaf,iybw,rahaf.iybw@mail.com,Tel: 5491607554,Digital Camera,Fujifilm X Series,Fujifilm X-T4,W493,3,1699,254.85,TRUE
34,1/1/2023,USA,washington,wh01,38.9072,-77.0369,majid,hishan,majid.hishan@mail.com,Tel: 5616615542,Tablet,Samsung Galaxy Tab S,Galaxy Tab S7+,L106,1,849,50.94,TRUE
35,1/1/2023,France,paris,ps01,48.8566,2.3522,asra,abu,Asra.abu@mail.com,Tel: 5037538145,Smartwatch,Huawei Watch,Huawei Watch Fit 2 Pro,U646,1,129,2.58,FALSE
36,1/1/2023,USA,las vegas,lv01,36.1699,-115.1398,muhamad,alaleppoy,Muhamad.alaleppoy@mail.com,Tel: 5520558869,Headphones,Bose QuietComfort,QC35 II,W242,1,299,17.94,FALSE
37,1/1/2023,France,paris,ps01,48.8566,2.3522,majdy,alqadi,majdy.alqadi@mail.com,Tel: 5067401556,Smartphone,Xiaomi Mi,Xiaomi Mi 12,Y270,1,799,,FALSE
38,1/1/2023,France,paris,ps01,48.8566,2.3522,lama,hadalah,Lama.hadalah@mail.com,Tel: 5129054297,VR Headset,Pimax Vision,Pimax Vision 5K Super Plus,E365,1,999,99.9,TRUE
