Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number
Grace,25,50000,Male,HR,Manager,2018-05-04,D,email@example.com,
David,35,65000,Female,Finance,Director,2020-02-20,F,user@domain.com,123-456-7890
Hannah,35,60000,Female,Sales,Director,2020-01-15,C,email@example.com,098-765-4321
Eve,35,50000,Female,IT,Manager,2018-05-04,A,name@company.org,
Grace,35,59971,Female,Finance,Manager,2020-01-15,F,name@company.org,098-765-4321
Jack,35,65000,Other,Marketing,Director,2019-03-25,F,user@domain.com,
Charlie,37,50000,Male,Marketing,Clerk,2019-12-01,B,,123-456-7890
Grace,40,50000,Other,HR,Director,2019-03-25,C,,
Hannah,40,60000,Female,Marketing,Manager,2020-01-15,C,user@domain.com,123-456-7890
Eve,30,59971,Other,Finance,Assistant,2020-02-20,A,,
David,25,70000,Male,Marketing,Analyst,2019-12-01,B,,123-456-7890
Hannah,35,70000,Other,Finance,Assistant,2019-03-25,A,,
Hannah,30,50000,Male,IT,Assistant,2018-05-04,D,,
Charlie,25,55000,Other,HR,Manager,2020-02-20,F,,555-555-5555
Frank,50,60065,Male,Marketing,Director,2019-03-25,A,,123-456-7890
Eve,35,65000,Male,Finance,Clerk,2018-05-04,F,,123-456-7890
Bob,40,55000,Female,Sales,Assistant,2020-01-15,B,,098-765-4321
Hannah,50,55000,Male,HR,Director,2018-05-04,D,user@domain.com,
Frank,25,59756,Female,IT,Clerk,2019-03-25,B,email@example.com,555-555-5555
Bob,50,50000,Female,Finance,Assistant,2019-03-25,D,user@domain.com,
Eve,35,50000,Female,IT,Clerk,2020-01-15,D,email@example.com,098-765-4321
Alice,25,50000,Other,IT,Director,2018-05-04,F,user@domain.com,555-555-5555
Jack,50,50000,Other,Marketing,Analyst,2018-05-04,B,email@example.com,
Frank,40,70000,Other,Marketing,Director,2020-01-15,B,email@example.com,555-555-5555
Ivy,40,50000,Other,Finance,Manager,2018-05-04,A,name@company.org,123-456-7890
Alice,30,70000,Male,Sales,Clerk,2020-01-15,B,email@example.com,123-456-7890
Jack,50,70000,Male,Finance,Analyst,2020-02-20,A,email@example.com,098-765-4321
Charlie,37,50000,Other,Sales,Clerk,2019-03-25,C,name@company.org,
Grace,50,60000,Male,IT,Clerk,2020-02-20,C,,
David,25,65000,Male,HR,Assistant,2019-12-01,C,,555-555-5555
Ivy,25,55000,Female,Finance,Manager,2019-12-01,B,name@company.org,098-765-4321
Charlie,50,70000,Female,Finance,Clerk,2019-12-01,B,,
Eve,35,61011,Female,Sales,Director,2020-01-15,A,email@example.com,123-456-7890
Charlie,40,59756,Female,IT,Director,2018-05-04,D,email@example.com,555-555-5555
Grace,25,65000,Male,IT,Assistant,2020-02-20,A,name@company.org,
Eve,40,61011,Other,Sales,Manager,2020-02-20,C,name@company.org,123-456-7890
Ivy,25,60000,Male,IT,Manager,2020-02-20,A,,098-765-4321
Grace,30,60065,Male,Marketing,Director,2020-02-20,D,,
Bob,35,55000,Male,HR,Analyst,2019-12-01,B,user@domain.com,123-456-7890
David,25,55000,Female,Finance,Assistant,2020-02-20,A,,
Ivy,40,70000,Female,HR,Assistant,2018-05-04,C,email@example.com,
Bob,30,50000,Female,Finance,Director,2019-12-01,C,name@company.org,098-765-4321
Jack,25,60000,Other,Marketing,Director,2020-02-20,B,,123-456-7890
Ivy,35,70000,Male,IT,Analyst,2020-01-15,A,,555-555-5555
Jack,35,60000,Other,Sales,Analyst,2019-03-25,D,,123-456-7890
Eve,25,50000,Female,Marketing,Manager,2019-03-25,B,,
Bob,30,60261,Other,HR,Assistant,2019-03-25,A,email@example.com,098-765-4321
David,35,61011,Male,Sales,Assistant,2019-12-01,F,user@domain.com,098-765-4321
Grace,50,50000,Male,IT,Director,2020-02-20,C,,555-555-5555
Hannah,30,70000,Female,Marketing,Manager,2019-12-01,D,,098-765-4321
Charlie,30,50000,Female,Sales,Assistant,2018-05-04,D,user@domain.com,098-765-4321
Alice,35,65000,Other,Marketing,Manager,2020-01-15,D,,098-765-4321
David,30,55000,Female,Marketing,Manager,2020-01-15,C,,098-765-4321
Bob,35,70000,Female,IT,Director,2019-03-25,A,,098-765-4321
Hannah,25,60000,Male,Finance,Manager,2019-03-25,B,,
David,35,65000,Female,Sales,Analyst,2019-03-25,A,user@domain.com,123-456-7890
Bob,35,70000,Female,IT,Analyst,2020-02-20,B,email@example.com,
Frank,37,50000,Male,Marketing,Clerk,2018-05-04,D,,098-765-4321
Frank,35,50000,Male,IT,Director,2018-05-04,A,email@example.com,
Jack,35,50000,Other,Finance,Clerk,2018-05-04,D,user@domain.com,
David,50,50000,Female,Sales,Analyst,2018-05-04,F,user@domain.com,
Frank,25,60000,Male,Finance,Clerk,2019-03-25,D,,098-765-4321
Bob,35,65000,Other,HR,Director,2020-01-15,D,,
Jack,50,61011,Other,Sales,Director,2019-03-25,B,name@company.org,098-765-4321
Bob,40,55000,Female,Finance,Manager,2018-05-04,F,user@domain.com,555-555-5555
Jack,25,60000,Female,Marketing,Assistant,2019-03-25,D,,555-555-5555
David,25,60000,Other,Sales,Manager,2018-05-04,D,email@example.com,555-555-5555
Hannah,40,61011,Male,Sales,Director,2019-12-01,F,,
Grace,35,59756,Other,IT,Analyst,2020-01-15,F,email@example.com,555-555-5555
Ivy,50,55000,Female,Marketing,Analyst,2019-12-01,A,user@domain.com,
Hannah,30,55000,Male,HR,Manager,2020-02-20,B,user@domain.com,
Eve,35,59971,Male,Finance,Director,2019-03-25,F,email@example.com,
Bob,30,50000,Other,IT,Analyst,2020-02-20,F,user@domain.com,098-765-4321
Eve,40,60000,Female,Finance,Director,2019-03-25,C,,123-456-7890
Hannah,25,70000,Other,HR,Analyst,2019-12-01,F,user@domain.com,098-765-4321
Jack,25,55000,Other,HR,Director,2018-05-04,B,,098-765-4321
Ivy,37,55000,Other,Sales,Clerk,2018-05-04,D,,098-765-4321
Ivy,25,60261,Male,HR,Director,2019-03-25,D,name@company.org,098-765-4321
Alice,25,65000,Male,Finance,Director,2018-05-04,D,user@domain.com,123-456-7890
Ivy,35,70000,Female,Marketing,Manager,2019-12-01,D,user@domain.com,555-555-5555
Grace,50,70000,Female,Marketing,Clerk,2018-05-04,C,,098-765-4321
Ivy,50,55000,Other,Sales,Assistant,2019-12-01,F,,
Hannah,35,50000,Other,Finance,Manager,2020-02-20,D,email@example.com,
Alice,40,65000,Other,Finance,Assistant,2019-12-01,A,email@example.com,
Hannah,25,70000,Female,HR,Analyst,2020-01-15,D,email@example.com,
Hannah,25,55000,Male,Finance,Assistant,2020-01-15,F,,098-765-4321
Charlie,40,70000,Male,IT,Director,2020-01-15,D,email@example.com,123-456-7890
Alice,50,65000,Other,HR,Assistant,2019-03-25,C,email@example.com,555-555-5555
Hannah,35,65000,Other,IT,Manager,2019-03-25,B,name@company.org,
Charlie,35,60000,Other,Sales,Manager,2019-03-25,B,email@example.com,555-555-5555
Charlie,35,60065,Other,Marketing,Assistant,2019-12-01,F,user@domain.com,123-456-7890
Alice,50,61011,Female,Sales,Manager,2019-03-25,B,,
Eve,50,55000,Male,Marketing,Manager,2020-02-20,B,,555-555-5555
Jack,40,65000,Other,Sales,Assistant,2020-01-15,A,name@company.org,123-456-7890
Grace,25,60000,Female,Finance,Clerk,2019-12-01,F,,555-555-5555
Jack,40,60000,Other,IT,Clerk,2020-01-15,F,,098-765-4321
Ivy,40,70000,Other,Marketing,Analyst,2019-03-25,B,user@domain.com,123-456-7890
Grace,50,70000,Male,HR,Manager,2019-12-01,B,email@example.com,555-555-5555
Ivy,35,60000,Other,IT,Assistant,2018-05-04,B,user@domain.com,098-765-4321
Hannah,30,70000,Male,HR,Manager,2020-02-20,C,email@example.com,098-765-4321
Bob,25,65000,Male,IT,Director,2019-03-25,D,email@example.com,123-456-7890
Alice,50,50000,Male,IT,Manager,2019-03-25,C,,
Grace,35,65000,Female,Sales,Manager,2020-02-20,F,email@example.com,
Grace,30,60000,Female,Marketing,Clerk,2020-02-20,A,name@company.org,123-456-7890
Hannah,30,60000,Male,Marketing,Assistant,2018-05-04,D,name@company.org,098-765-4321
Eve,50,65000,Other,IT,Manager,2019-03-25,A,name@company.org,098-765-4321
Charlie,37,70000,Male,Finance,Clerk,2019-03-25,F,,123-456-7890
Hannah,25,70000,Other,Finance,Analyst,2020-01-15,F,user@domain.com,
Frank,30,60261,Male,HR,Clerk,2019-12-01,A,,
Charlie,50,60000,Other,HR,Clerk,2019-12-01,A,email@example.com,555-555-5555
Alice,50,55000,Female,Sales,Clerk,2020-01-15,A,,123-456-7890
Charlie,35,59756,Other,IT,Manager,2019-12-01,F,user@domain.com,
Eve,35,70000,Male,HR,Manager,2020-02-20,B,user@domain.com,
Charlie,25,65000,Female,HR,Analyst,2019-12-01,A,,098-765-4321
