Order ID,Order Date,Country,City,Branch,Lat,Lng,Customer First Name,Customer Last Name,Email,Phone Number,Category,Sub Category,Item,SalesPerson ID,Quantity,Unit Price,Discount,Status,Year,Month,Month Name,Phone Valid,Email Valid
1.0,2023-01-01,Syria,Homs,hs01,34.7326,36.7136,lina,alrrashid,lina.alrrashid@mail.com,5634962795,Tablet,Apple iPad,"  iPad   Pro   12.9"" ",N498,1.0,999.0,39.96,False,2023.0,1.0,January,True,True
2.0,2023-01-01,Saudi Arabia,Riyadh,rd01,24.7136,46.6753,omar,eurul,omar.eurul@mail.com,5311455624,Smartphone,Samsung Galaxy,Galaxy  S21  Ultra  ,X918,1.0,1199.0,119.9,True,2023.0,1.0,January,True,True
3.0,2023-01-01,Saudi Arabia,Riyadh,rd03,24.7743,46.7386,iman,iismaeil,iman.iismaeil@mail.com,5272740777,Digital Camera,Panasonic Lumix,Panasonic Lumix GH5 ,I036,1.0,1299.0,0.0,True,2023.0,1.0,January,True,True
4.0,2023-01-01,United Arab Emirates,Abu Dhabi,ad01,24.4539,54.3773,ahmad,rihan,ahmad.rihan@mail.com,5783343440,Tablet,Samsung Galaxy Tab, Galaxy Tab A8 ,E804,2.0,199.0,27.86,True,2023.0,1.0,January,True,True
5.0,2023-01-01,USA,Washington,wh01,38.9072,-77.0369,sami,altawil,sami.altawil@mail.com,5352774687,Headphones,Sennheiser HD, Sennheiser   HD   450BT  ,Q149,1.0,129.0,3.87,True,2023.0,1.0,January,True,True
6.0,2023-01-01,Syria,Aleppo,al01,36.2021,37.1343,ahed,salim,ahed.salim@mail.com,5277356213,Smartwatch,Garmin Fenix, Garmin   Fenix   6S   ,J431,1.0,499.0,4.99,True,2023.0,1.0,January,True,True
7.0,2023-01-01,Saudi Arabia,Riyadh,rd01,24.7136,46.6753,amira,alrahil,amira.alrahil@mail.com,5653467109,Digital Camera,Panasonic Lumix,Panasonic Lumix S1H,S190,1.0,3499.0,209.94,True,2023.0,1.0,January,True,True
8.0,2023-01-01,Egypt,Cairo,cr02,30.0444,31.2357,muhamad,bitahish,muhamad.bitahish@mail.com,5705221103,Headphones,Anker Soundcore,Anker   Soundcore   Liberty   Air   2   Pro   ,R389,1.0,99.0,0.99,False,2023.0,1.0,January,True,True
9.0,2023-01-01,Saudi Arabia,Aseer,as01,18.2311,42.5004,fadi,aljabaan,fadi.aljabaan@mail.com,5271157029,Laptop,HP Envy,  Envy   x360  ,I974,1.0,899.0,0.0,True,2023.0,1.0,January,True,True
10.0,2023-01-01,USA,Washington,wh01,38.9072,-77.0369,zahir,almunajid,zahir.almunajid@mail.com,5151565826,Smart Speaker,Apple HomePod,Apple  HomePod  mini ,R236,9.0,99.0,71.28,True,2023.0,1.0,January,True,True
11.0,2023-01-01,Egypt,Cairo,cr03,30.0444,31.2357,eala,aljabaan,eala.aljabaan@mail.com,5725081300,Laptop,Lenovo Legion, Lenovo   Legion   5  ,B541,3.0,1099.0,0.0,True,2023.0,1.0,January,True,True
12.0,2023-01-01,Egypt,Cairo,cr01,30.0444,31.2357,abd allatif,alghandur,abdallatif.alghandur@mail.com,5647534056,Tablet,Samsung Galaxy Tab,   Galaxy  Tab  S7,U983,1.0,649.0,64.9,True,2023.0,1.0,January,True,True
13.0,2023-01-01,USA,Las Vegas,lv01,36.1699,-115.1398,muhamad,eurman,muhamad.eurman@mail.com,5011035056,Smartwatch,Fossil Gen,  Fossil Gen 5E  ,N710,1.0,199.0,19.9,True,2023.0,1.0,January,True,True
14.0,2023-01-01,Morocco,Casablanca,cs01,33.5731,7.5898,shahad,eyd bndqjy,shahad.eydbndqjy@mail.com,5066425618,Smartwatch,Garmin Fenix, Garmin   Fenix   7,G033,1.0,699.0,62.91,True,2023.0,1.0,January,True,True
15.0,2023-01-01,Egypt,Asyut,at01,27.1809,31.1837,sahar,kharasah,sahar.kharasah@mail.com,5074545757,Tablet,Amazon Fire,   Amazon Fire 7 ,G449,1.0,49.0,3.43,True,2023.0,1.0,January,True,True
16.0,2023-01-01,United Arab Emirates,Abu Dhabi,ad01,24.4539,54.3773,muhamad,zawal,muhamad.zawal@mail.com,5080748666,Tablet,Samsung Galaxy Tab,  Galaxy  Tab  A7,T351,1.0,179.0,14.32,True,2023.0,1.0,January,True,True
17.0,2023-01-01,France,Paris,ps01,48.8566,2.3522,muhamad,zaetar,muhamad.zaetar@mail.com,5891898352,Headphones,Sennheiser HD, Sennheiser HD 660S ,S691,13.0,499.0,389.22,True,2023.0,1.0,January,True,True
18.0,2023-01-01,Saudi Arabia,Jeddah,jd01,21.5433,39.1728,muhamad,byd,muhamad.byd@mail.com,5326430239,Tablet,Lenovo Tab,Lenovo Tab M10 FHD Plus   ,D241,1.0,229.0,16.03,True,2023.0,1.0,January,True,True
19.0,2023-01-01,Saudi Arabia,Riyadh,rd01,24.7136,46.6753,fadi,ahmad,fadi.ahmad@mail.com,5923514383,VR Headset,Oculus Rift,Oculus  Rift  S   ,O247,1.0,399.0,7.98,False,2023.0,1.0,January,True,True
20.0,2023-01-01,Saudi Arabia,Riyadh,rd02,24.7743,46.7386,khalid,dbs,khalid.dbs@mail.com,5649954933,Headphones,Anker Soundcore, Anker Soundcore Life Q35  ,R252,3.0,129.0,7.74,False,2023.0,1.0,January,True,True
21.0,2023-01-01,Saudi Arabia,Aseer,as01,18.2311,42.5004,akthum,haydar,akthum.haydar@mail.com,5649217895,Digital Camera,Sony Cyber-shot,Sony  Cyber-shot  RX100  VII   ,S783,1.0,1199.0,47.96,True,2023.0,1.0,January,True,True
22.0,2023-01-01,USA,New York,ny03,40.7498,-73.9814,muhamad,zaqzuq,muhamad.zaqzuq@mail.com,5064468564,Headphones,JBL Live,   JBL Live 500BT ,J345,1.0,99.0,0.0,False,2023.0,1.0,January,True,True
23.0,2023-01-01,United Arab Emirates,Abu Dhabi,ad02,24.4764,54.3705,rwbyna,salhany,rwbyna.salhany@mail.com,5037062257,Headphones,Sony WH, Sony   WH-CH710N   ,H632,1.0,129.0,0.0,True,2023.0,1.0,January,True,True
24.0,2023-01-01,USA,New York,ny03,40.7498,-73.9814,muwmin,alsaman,muwmin.alsaman@mail.com,5114783631,Headphones,Anker Soundcore,Anker Soundcore Liberty Air Pro,Q832,1.0,99.0,5.94,True,2023.0,1.0,January,True,True
25.0,2023-01-01,United Arab Emirates,Abu Dhabi,ad01,24.4539,54.3773,jwny,alrifaei,jwny.alrifaei@mail.com,5073584006,Laptop,Lenovo Legion,Lenovo   Legion   5 ,P653,3.0,1099.0,32.97,True,2023.0,1.0,January,True,True
26.0,2023-01-01,Syria,Damascus,ds02,33.5146,36.3084,ali,iismaeil,ali.iismaeil@mail.com,5835136476,Laptop,Apple MacBook,"   MacBook   Air   13""   ",U470,1.0,999.0,79.92,False,2023.0,1.0,January,True,True
27.0,2023-01-01,Egypt,Cairo,cr02,30.0444,31.2357,husam aldiyn,allaham,husamaldiyn.allaham@mail.com,5345184897,Tablet,Amazon Fire,  Amazon Fire HD 10   ,J431,1.0,149.0,10.43,True,2023.0,1.0,January,True,True
28.0,2023-01-01,France,Paris,ps01,48.8566,2.3522,muhamad,muayid,muhamad.muayid@mail.com,5142624890,Smartphone,OnePlus, OnePlus  10  Pro  ,W336,1.0,999.0,79.92,False,2023.0,1.0,January,True,True
29.0,2023-01-01,France,Paris,ps01,48.8566,2.3522,ali,kiwan,ali.kiwan@mail.com,5122817846,Fitness Tracker,Fitbit Versa,Fitbit Versa 2  ,V236,2.0,179.0,10.74,False,2023.0,1.0,January,True,True
30.0,2023-01-01,Saudi Arabia,Aseer,as01,18.2311,42.5004,emara,shiah,emara.shiah@mail.com,5535880671,Fitness Tracker,Fitbit Versa,  Fitbit  Versa  3 ,X209,2.0,229.0,22.9,False,2023.0,1.0,January,True,True
31.0,2023-01-01,USA,New York,ny01,40.7128,-74.006,muhamad,shbyb,muhamad.shbyb@mail.com,5488892188,Smartphone,Samsung Galaxy,Galaxy S21 Ultra,F510,1.0,1199.0,47.96,False,2023.0,1.0,January,True,True
32.0,2023-01-01,United Arab Emirates,Abu Dhabi,ad02,24.4764,54.3705,majd,eilwan,majd.eilwan@mail.com,5664246524,Headphones,Sennheiser HD,Sennheiser HD 599 SE,Z764,1.0,199.0,11.94,True,2023.0,1.0,January,True,True
33.0,2023-01-01,USA,New York,ny03,40.7498,-73.9814,rahaf,iybw,rahaf.iybw@mail.com,5491607554,Digital Camera,Fujifilm X Series,Fujifilm X-T4,W493,3.0,1699.0,254.85,True,2023.0,1.0,January,True,True
34.0,2023-01-01,USA,Washington,wh01,38.9072,-77.0369,majid,hishan,majid.hishan@mail.com,5616615542,Tablet,Samsung Galaxy Tab S,Galaxy Tab S7+,L106,1.0,849.0,50.94,True,2023.0,1.0,January,True,True
35.0,2023-01-01,France,Paris,ps01,48.8566,2.3522,asra,abu,asra.abu@mail.com,5037538145,Smartwatch,Huawei Watch,Huawei Watch Fit 2 Pro,U646,1.0,129.0,2.58,False,2023.0,1.0,January,True,True
36.0,2023-01-01,USA,Las Vegas,lv01,36.1699,-115.1398,muhamad,alaleppoy,muhamad.alaleppoy@mail.com,5520558869,Headphones,Bose QuietComfort,QC35 II,W242,1.0,299.0,17.94,False,2023.0,1.0,January,True,True
